                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.24418,                0.24489,                0.92513,                0.99222,                0.98983,                0.99258,                0.98702,                0.20116,                0.18505,                0.60371,             0.00027222,             0.00027222,             0.00027222
                     37,                 0.2359,                0.23624,                 0.9189,                0.99263,                 0.9911,                0.99132,                0.98385,                0.20886,                0.19566,                 0.6159,             0.00025573,             0.00025573,             0.00025573
                     38,                0.23179,                0.23791,                0.91802,                0.98954,                0.99232,                0.99172,                0.98565,                0.20554,                0.19934,                0.60916,             0.00023924,             0.00023924,             0.00023924
                     39,                0.23184,                0.23355,                0.91871,                0.99118,                0.99149,                0.99225,                0.98591,                0.19402,                0.18704,                0.60157,             0.00022274,             0.00022274,             0.00022274
                     40,                0.22386,                0.22544,                 0.9157,                0.98911,                0.99367,                0.99277,                0.98711,                0.19254,                 0.1842,                 0.6013,             0.00020625,             0.00020625,             0.00020625
                     41,                0.17988,                0.17484,                0.88376,                0.98838,                0.98929,                0.99039,                0.98398,                0.20242,                 0.2071,                0.60533,             0.00018976,             0.00018976,             0.00018976
                     42,                0.17212,                0.16155,                0.88309,                0.99013,                0.99492,                0.99138,                0.98444,                0.19451,                0.16427,                0.60445,             0.00017326,             0.00017326,             0.00017326
                     43,                 0.1693,                0.16307,                 0.8729,                0.99388,                0.98988,                0.99264,                0.98712,                0.19241,                0.18161,                0.59547,             0.00015677,             0.00015677,             0.00015677
                     44,                0.16433,                 0.1544,                0.87335,                0.99009,                0.99242,                0.99114,                0.98415,                0.19587,                0.18254,                0.60155,             0.00014028,             0.00014028,             0.00014028
                     45,                0.15965,                0.14513,                0.87281,                0.99091,                 0.9916,                 0.9923,                0.98642,                 0.1984,                0.17361,                0.60149,             0.00012378,             0.00012378,             0.00012378
                     46,                 0.1533,                0.13149,                0.87655,                0.99196,                 0.9922,                 0.9928,                0.98786,                0.20139,                0.17944,                0.59637,             0.00010729,             0.00010729,             0.00010729
                     47,                0.14918,                0.13325,                0.86928,                0.99447,                0.98945,                 0.9924,                0.98688,                0.20145,                0.18457,                0.59427,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     48,                0.14457,                0.12684,                0.87037,                0.98916,                0.99583,                0.99255,                0.98799,                0.18686,                0.17711,                0.59247,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     49,                0.14366,                0.12335,                0.86262,                0.99216,                0.99127,                0.99248,                0.98658,                0.18666,                0.17467,                0.58966,              5.781e-05,              5.781e-05,              5.781e-05
                     50,                0.14015,                 0.1212,                0.86456,                0.98924,                0.99496,                0.99263,                0.98717,                0.18876,                0.17045,                0.59043,             4.1317e-05,             4.1317e-05,             4.1317e-05
